Manufacturer;StockName;LabelWidth;LabelHeight;PaperWidth;PaperHeight;NumberOfRows;NumberOfColumns;HorizontalGap;VerticalGap;LeftMargin;TopMargin
Comtec;LD-T7HZ5M;2.0000;1.0000;2.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T9TZ5B;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800026-001;8.5000;11.6900;8.5020;11.6920;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800127-023;5.0000;2.5000;5.0020;2.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800127-071;8.0000;3.5000;8.0020;3.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800127-090;8.5000;5.3700;8.5020;5.3720;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800127-101;1.1250;1.2500;2.2520;1.2520;2;1;0.0000;0.0000;0.0020;0.00195
Eltron;800127-153;8.0000;5.3800;8.0020;5.3820;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800150-300;1.0000;3.0000;1.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800212-085;1.2000;0.8500;1.2020;0.8520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800212-105;1.2500;1.0000;1.2520;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800222-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800222-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800222-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800222-305;2.2500;3.0000;2.2520;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800222-405;2.2500;4.0000;2.2520;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800227-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800230-105;3.0000;1.0000;3.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800230-205;3.0000;2.0000;3.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
